sequence	type	position	peak>-12	peak>-14	peak>-16	peak>-18	peak<-18	peak_sum	peak_count	sp_mean
PR8_PB2	WT	0	0.0	0.0	-15.70	-16.10	0.0	-31.80	2.00	0.00
PR8_PB2	WT	27	0.0	0.0	0.0	0.0	0.0	0.00	0.00	263.00
PR8_PB2	WT	50	-91.59	-246.15	-14.87	-16.43	0.0	-369.04	29.00	694.00
PR8_PB2	WT	91	-104.69	-217.73	-44.27	0.0	0.0	-366.69	29.00	2013.00
PR8_PB2	WT	111	-22.98	0.0	0.0	0.0	0.0	-22.98	2.00	12519.00
PR8_PB2	WT	147	-11.45	-67.20	-15.39	-16.98	0.0	-111.02	8.00	9880.00
PR8_PB2	WT	183	-115.63	-128.07	-29.27	0.0	-19.42	-292.39	23.00	9010.00
PR8_PB2	WT	212	-57.71	-183.14	-103.73	-49.60	-19.16	-413.34	30.00	9885.00
PR8_PB2	WT	238	-80.02	-178.53	-60.59	-134.84	0.0	-453.98	33.00	7158.00
PR8_PB2	WT	310	-92.57	-201.57	-61.03	-16.92	0.0	-372.09	29.00	15883.00
PR8_PB2	WT	349	-45.39	-52.33	-14.85	-16.87	-18.48	-147.92	11.00	8692.00
PR8_PB2	WT	373	0.0	-13.67	0.0	0.0	0.0	-13.67	1.00	9818.00
PR8_PB2	WT	398	-34.42	-37.25	-42.67	0.0	0.0	-114.34	9.00	4472.00
PR8_PB2	WT	424	-69.37	-75.12	-130.17	0.0	0.0	-274.66	21.00	13115.00
PR8_PB2	WT	467	-22.69	-24.57	-30.00	0.0	0.0	-77.26	6.00	11292.00
PR8_PB2	WT	505	-11.80	-127.26	-28.82	0.0	0.0	-167.88	13.00	573.00
PR8_PB2	WT	524	-21.88	-25.68	0.0	0.0	0.0	-47.56	4.00	573.00
PR8_PB2	WT	572	-47.03	-37.54	0.0	0.0	0.0	-84.57	7.00	796.00
PR8_PB2	WT	595	0.0	-12.42	0.0	0.0	0.0	-12.42	1.00	4130.00
PR8_PB2	WT	635	-23.29	-39.92	-15.69	-16.06	0.0	-94.96	7.00	7213.00
PR8_PB2	WT	662	-46.81	-91.41	0.0	0.0	0.0	-138.22	11.00	3602.00
PR8_PB2	WT	700	-34.55	-76.26	0.0	0.0	0.0	-110.81	9.00	4336.00
PR8_PB2	WT	729	0.0	-52.39	0.0	-16.47	0.0	-68.86	5.00	3347.00
PR8_PB2	WT	751	-55.68	-191.21	-59.71	-49.97	0.0	-356.57	27.00	2128.00
PR8_PB2	WT	785	-46.32	-52.77	-29.08	-49.90	0.0	-178.07	13.00	209.00
PR8_PB2	WT	826	-57.95	-145.60	-29.12	-82.60	0.0	-315.27	23.00	5029.00
PR8_PB2	WT	866	-45.92	-63.27	-14.08	-16.62	0.0	-139.89	11.00	7872.00
PR8_PB2	WT	891	-34.65	-38.37	-15.97	-16.62	0.0	-105.61	8.00	5602.00
PR8_PB2	WT	936	-23.14	-73.57	0.0	0.0	0.0	-96.71	8.00	5522.00
PR8_PB2	WT	944	-11.79	-64.21	0.0	0.0	0.0	-76.00	6.00	27326.00
PR8_PB2	WT	978	0.0	0.0	0.0	0.0	0.0	0.00	0.00	24915.00
PR8_PB2	WT	995	-11.87	-25.56	0.0	0.0	0.0	-37.43	3.00	1206.00
PR8_PB2	WT	1000	0.0	-25.56	0.0	0.0	0.0	-25.56	2.00	1630.00
PR8_PB2	WT	1008	-11.48	-25.56	0.0	0.0	0.0	-37.04	3.00	4666.00
PR8_PB2	WT	1057	0.0	-52.09	-14.71	0.0	0.0	-66.80	5.00	4397.00
PR8_PB2	WT	1087	-11.71	0.0	0.0	0.0	0.0	-11.71	1.00	18348.00
PR8_PB2	WT	1096	-11.71	-12.96	0.0	0.0	0.0	-24.67	2.00	16436.00
PR8_PB2	WT	1125	-57.25	-73.78	-14.69	-33.66	0.0	-179.38	14.00	16403.00
PR8_PB2	WT	1165	-23.01	-50.49	-29.17	-32.74	0.0	-135.41	10.00	17836.00
PR8_PB2	WT	1231	-34.95	-102.93	-15.62	0.0	0.0	-153.50	12.00	2808.00
PR8_PB2	WT	1261	0.0	0.0	-14.65	0.0	0.0	-14.65	1.00	2673.00
PR8_PB2	WT	1294	-34.74	-140.62	-14.04	0.0	0.0	-189.40	15.00	5494.00
PR8_PB2	WT	1326	-22.47	-38.90	0.0	0.0	0.0	-61.37	5.00	8558.00
PR8_PB2	WT	1353	-102.21	-190.56	-43.69	-16.84	0.0	-353.30	28.00	2802.00
PR8_PB2	WT	1358	-68.83	-154.28	-29.65	-16.84	0.0	-269.60	21.00	3408.00
PR8_PB2	WT	1386	-11.79	-114.61	-59.30	0.0	0.0	-185.70	14.00	5260.00
PR8_PB2	WT	1440	-34.49	-12.83	0.0	0.0	0.0	-47.32	4.00	8316.00
PR8_PB2	WT	1473	-58.19	-79.57	-28.39	0.0	0.0	-166.15	13.00	6651.00
PR8_PB2	WT	1519	-46.75	-76.36	-15.95	0.0	0.0	-139.06	11.00	5608.00
